seller_id,name,domain,seller_type
414,Melody Blog,melody.com.ng,PUBLISHER
416,Ojzmusic,ojzmusic.com,PUBLISHER
417,BrettBarley,brettbarley.com,PUBLISHER
421,EPLpage,eplpage.com,PUBLISHER
422,Cucinaconmegraziellaeraffaele,cucinaconmegraziellaeraffaele.it,PUBLISHER
423,Emycyber,emycyber.com.ng,PUBLISHER
427,24musicplay,24musicplay.com,PUBLISHER
428,soccernewshub,soccernewshub.xyz,PUBLISHER
433,forbesloaded,forbesloaded.com,PUBLISHER
434,Trendgist Attivo,trendgist.com.ng,PUBLISHER
435,campionando.it,campionando.it,PUBLISHER
440,9JABEE?,9jabee.com,PUBLISHER
441,ITalk,italk.com.ng,PUBLISHER
442,Sammyloaded,sammyloaded.com,PUBLISHER
444,Vevosongs,vevosongs.com,PUBLISHER
454,m.fzmoviesnet.com,m.fzmoviesnet.com,PUBLISHER
467,Fonte Ufficiale it,fonteufficiale.it,PUBLISHER
472,Arewamh,arewamh.com.ng,PUBLISHER
474,Guidesmartphone.net,guidesmartphone.net,PUBLISHER
475,Notizietecnologia,notizietecnologia.it,PUBLISHER
485,Eastnobs,eastnobs.com,PUBLISHER
487,arturocucina.it,arturocucina.it,PUBLISHER
493,CitytrendTv,citytrend.com.ng,PUBLISHER
494,042jam,042jam.com,PUBLISHER
499,Gadget Stripe,gadgetstripe.com,PUBLISHER
502,Xclusivepop,xclusivepop.com,PUBLISHER
505,Livepress,https:livepress.us,PUBLISHER
507,Naijafinix,naijafinix.com,PUBLISHER
508,Wildwap,wildwap.com,PUBLISHER
512,Sorox,sorox.org,PUBLISHER
518,Gist Flare,gistflare.com.ng,PUBLISHER
521,tuttosampdoria.mondocalcionews.it,tuttosampdoria.mondocalcionews.it,PUBLISHER
524,OutOfBit.it,outofbit.it,PUBLISHER
537,Emironcredit,emironcredit.com,PUBLISHER
539,TheCityCeleb,thecityceleb.com,PUBLISHER
541,Flashgist,www.flashgist.com.ng,PUBLISHER
543,Nairaflaver,nairaflaver.com,PUBLISHER
545,Newsblits,newsblits.com,PUBLISHER
547,Fivekay Cooded,fivekaycooded.com.ng,PUBLISHER
549,Pautamp3,pautamp3.com,PUBLISHER
560,Morexlusive,morexlusive.com,PUBLISHER
563,Oasdom,oasdom.com,PUBLISHER
564,Onuafrica,onuafrica.com,PUBLISHER
568,Italksport,italksport.com.ng,PUBLISHER
570,BaseNaija,basenaija.com,PUBLISHER
571,Vistanaij.com.ng,vistanaij.com.ng,PUBLISHER
573,Princeblog,princeblog.net ,PUBLISHER
575,042songs,042songs.com,PUBLISHER
576,Ewacoltd,ewacoltd.com,PUBLISHER
577,Naijaoption,naijaoption.com,PUBLISHER
578,Tricksvile,tricksvile.com,PUBLISHER
581,Irockmp3,irockmp3.com,PUBLISHER
584,Soloplay,soloplay.ng,PUBLISHER
585,BBNaija,bbnaija.ng,PUBLISHER
586,360dopes,360dopes.com,PUBLISHER
588,Shoppinglifestyle.com,shoppinglifestyle.com,PUBLISHER
589,Travelmiso.com,travelmiso.com,PUBLISHER
590,madnaija.com,madnaija.com ,PUBLISHER
591,Latestnaija,latestnaija.info,PUBLISHER
592,Histoky.com,histoky.com,PUBLISHER
598,Cute9ja Media,cute9ja.com,PUBLISHER
599,thinknews.com.ng,thinknews.com.ng,PUBLISHER
601,lovecolumnist.com,lovecolumnist.com,PUBLISHER
602,caloriemania.com,caloriemania.com,PUBLISHER
603,HDCOART,hdcoart.com,PUBLISHER
604,BULLROAD,bullroad.us,PUBLISHER
606,IMSU Info,imsuinfo.com,PUBLISHER
607,studyscholar.online,studyscholar.online,PUBLISHER
609,the360report,the360report.com,PUBLISHER
611,Kokocampus,kokocampus.com.ng,PUBLISHER
613,Afrobeat Music Site,afrobeat.co.za,PUBLISHER
614,Mynativefashion,mynativefashion.com,PUBLISHER
615,skubonet,skubonet.com,PUBLISHER
617,Taploaded Blog,taploadedblog.com,PUBLISHER
621,Sportelo,sportelo.com.ng,PUBLISHER
624,Naijablits,naijablits.com,PUBLISHER
626,The9jafresh,the9jafresh.com,PUBLISHER
627,CorrectNews,correctnews.ng,PUBLISHER
628,midevibez,midevibez.com,PUBLISHER
629,Naijacrawl,naijacrawl.com,PUBLISHER
630,24techhub.in,24techhub.in,PUBLISHER
631,Techindiaa,techindiaa.in,PUBLISHER
632,Lite9ja,lite9ja.com.ng,PUBLISHER
635,justmalt.blogspot.com,justmalt.blogspot.com,PUBLISHER
641,wapresources.com,wapresources.com,PUBLISHER
